"oa11cd","lsoa11cd","sfbb_pc","ufbb_pc","nga_pc","no2m_pc","no5m_pc","no10m_pc","no30m_pc","meddown","avdown","mindown","maxdown","avdownl10","avdownbasic","avdownsfbb","avdownufbb","medup","avup","minup","maxup","avupl10","avupbasic","avupsfbb","avupufbb","numconnl2","numconn2t5","numconn5t10","numconn10t30","numconn30p","numconn300p","avdugb","avdul10","avdubasic","avdusfbb","avduufbb","num_pcs"
"E00169623","E01033002",35.4285714285714,0,35.4285714285714,0,0,0,64.5714285714286,22.0571428571429,24.3142857142857,6.88571428571429,65.5714285714286,8,16.0142857142857,24.3428571428571,0,1.37142857142857,1.55714285714286,0.614285714285714,4.44285714285714,0.985714285714286,1.02857142857143,1.84285714285714,0,0,0,19,161,59,0,146.657142857143,78.7142857142857,138.785714285714,53.2857142857143,0,7
"E00169625","E01033002",75,0,75,0,0,0,25,23.925,29.375,9.125,75,6.425,17.1,37.525,0,1.3,1.8,0.725,5.125,0.475,1,2.425,0,0,0,7,27,20,0,87.1,89.05,104.025,42.4,0,4
"E00169626","E01033002",0,100,100,0,0,0,0,15.525,15.75,2.75,42.15,6.725,15,35.3,0,1.075,1.125,0.475,5.45,0.85,1.025,3.125,0,0,6,25,170,4,0,219.625,130.075,218.625,213.375,0,4
"E00169628","E01033003",100,0,100,0,0,0,0,39,52.4666666666667,10.4,160,4.43333333333333,17.2333333333333,72.0333333333333,0,2.33333333333333,3.3,0.666666666666667,11.3333333333333,0.6,1,6.6,0,0,1,4,56,131,0,171.233333333333,85.1666666666667,186,250.966666666667,0,3
"E00169629","E01033003",100,0,100,0,0,0,0,14.9,56.5,9.8,200,9.8,13.6,156.7,0,1.2,4.1,0.4,12,1.2,1,11.3,0,0,0,1,6,3,0,57.6,82.6,25,133.7,0,1
"E00169738","E01011431",94.2857142857143,0,100,0,0,0,5.71428571428571,18.9142857142857,35.8,4.24285714285714,112.785714285714,5.74285714285714,8.92857142857143,69.7571428571429,0,1.91428571428571,2.95714285714286,0.742857142857143,9.4,0.842857142857143,1.35714285714286,6.5,0,0,14,18,26,34,0,179.914285714286,126.428571428571,176.285714285714,214.371428571429,0,7
"E00169739","E01011430",100,0,100,0,0,0,0,30.6333333333333,38.3666666666667,4.13333333333333,184,7.5,10.1666666666667,72.5333333333333,0,2.2,2.9,0.566666666666667,12,0.9,1.03333333333333,5.1,0,1,1,18,29,48,0,186.2,113.7,185.266666666667,179.866666666667,0,3
"E00169740","E01011430",100,0,100,0,0,0,0,25.55,36.325,3.225,125,6.8,10.225,61.225,0,2.025,2.95,0.65,11.5,0.95,1.1,4.875,0,1,3,12,19,42,0,192.575,151.675,131.425,257.55,0,4
"E00169741","E01011427",100,0,100,0,0,0,0,38.75,54.55,1.3,200,2.85,3.65,85.9,0,4.25,4.5,0.5,12,0.7,0.7,6.75,0,7,16,0,2,33,0,263.55,288.25,290.6,259.4,0,2
"E00169742","E01011670",100,0,100,0,0,0,0,60,56.58,4.46,160.8,5.96,8.3,77.76,0,3.6,4.12,0.66,12.58,0.82,0.82,5.6,0,0,6,11,3,47,0,195.46,169.64,152.42,221.28,0,5
"E00169743","E01033005",100,0,100,0,0,0,0,30.175,41.8375,12.325,118.9125,5.5625,9.6875,71.6875,0,2.025,3.6625,0.975,10.125,0.6875,1.2125,6.5875,0,2,5,23,12,54,0,251.1625,87.4375,133.525,377.025,0,8
"E00169744","E01011357",100,0,100,0,0,0,0,22.2333333333333,32.4,13.2,107.533333333333,3.23333333333333,20.0333333333333,62.5333333333333,0,1.16666666666667,3.7,0.666666666666667,14.3333333333333,0.133333333333333,1.03333333333333,10.3666666666667,0,0,0,1,31,20,0,121.5,28.7666666666667,78.7666666666667,76.1,0,3
"E00169745","E01011360",97,0,97,0,0,0,3,36.55,44.1,5.65,200,2.1,20.2,72.55,0,2.15,2.6,0.35,12,0.25,1.1,4.35,0,1,0,1,31,26,0,236.6,4.55,317.1,148.95,0,2
"E00169746","E01033006",100,0,100,0,0,0,0,35.9666666666667,37.5333333333333,3.76666666666667,100.666666666667,6.5,8.4,58.4,0,2.3,2.93333333333333,0.7,11.6666666666667,0.733333333333333,0.833333333333333,4.43333333333333,0,1,2,6,4,19,0,175.5,54.3,63.8333333333333,323.766666666667,0,3
"E00169747","E01033005",98,0,98,0,0,0,2,39,52.2333333333333,9.03333333333333,150,5.93333333333333,13.0333333333333,80.8333333333333,0,2.33333333333333,3.23333333333333,0.633333333333333,9.33333333333333,0.533333333333333,0.866666666666667,5,0,0,0,3,18,23,0,217.533333333333,24.2333333333333,168.366666666667,244.133333333333,0,3
"E00169748","E01033005",100,0,100,0,0,0,0,29.45,38.85,6.95,87.15,7.4,16.4,55.45,0,8.1,7.1,0.55,11.9,0.7,4,10.35,0,0,0,4,16,20,0,129.05,39.7,118.3,168.25,0,2
