"lsoa11cd","CAUTH18NM","lsoa11nm","median_95Q1","median_95Q2","median_95Q3","median_95Q4","median_96Q1","median_96Q2","median_96Q3","median_96Q4","median_97Q1","median_97Q2","median_97Q3","median_97Q4","median_98Q1","median_98Q2","median_98Q3","median_98Q4","median_99Q1","median_99Q2","median_99Q3","median_99Q4","median_00Q1","median_00Q2","median_00Q3","median_00Q4","median_01Q1","median_01Q2","median_01Q3","median_01Q4","median_02Q1","median_02Q2","median_02Q3","median_02Q4","median_03Q1","median_03Q2","median_03Q3","median_03Q4","median_04Q1","median_04Q2","median_04Q3","median_04Q4","median_05Q1","median_05Q2","median_05Q3","median_05Q4","median_06Q1","median_06Q2","median_06Q3","median_06Q4","median_07Q1","median_07Q2","median_07Q3","median_07Q4","median_08Q1","median_08Q2","median_08Q3","median_08Q4","median_09Q1","median_09Q2","median_09Q3","median_09Q4","median_10Q1","median_10Q2","median_10Q3","median_10Q4","median_11Q1","median_11Q2","median_11Q3","median_11Q4","median_12Q1","median_12Q2","median_12Q3","median_12Q4","median_13Q1","median_13Q2","median_13Q3","median_13Q4","median_14Q1","median_14Q2","median_14Q3","median_14Q4","median_15Q1","median_15Q2","median_15Q3","median_15Q4","median_16Q1","median_16Q2","median_16Q3","median_16Q4","median_17Q1","median_17Q2","median_17Q3","median_17Q4","median_18Q1","median_18Q2","median_18Q3","median_18Q4"
"E01011405","West Yorkshire","Leeds 077E",NA,NA,NA,NA,NA,NA,54000,52000,52000,NA,NA,NA,NA,53000,NA,NA,NA,NA,NA,NA,59950,NA,NA,NA,NA,NA,NA,NA,NA,83000,NA,NA,NA,NA,NA,NA,126500,NA,NA,NA,NA,NA,NA,NA,NA,130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,130000,NA,NA,NA,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130000,NA,120000,NA,NA,NA,130000,NA,NA,NA,NA,NA
"E01011406","West Yorkshire","Leeds 057A",NA,NA,NA,NA,NA,NA,NA,41500,38500,37000,NA,39000,NA,26500,NA,NA,NA,36000,NA,49500,NA,NA,NA,NA,NA,NA,57000,48500,NA,NA,40000,NA,69000,NA,67500,80500,82000,NA,87975,NA,NA,NA,NA,NA,NA,NA,NA,125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000,NA,NA,NA,NA,NA,NA,NA,110000,120000,NA,NA,NA,NA,NA,85000,NA,NA,NA,127000
"E01011407","West Yorkshire","Leeds 057B",59747.5,NA,52250,NA,NA,NA,NA,48000,NA,40750,NA,47500,NA,40000,35000,48950,41250,41000,51725,36950,47125,41000,43000,59950,NA,NA,63475,NA,65000,NA,74000,NA,NA,NA,89950,71225,NA,87500,85000,84000,NA,NA,103750,85000,92000,98000,96250,99995,103975,NA,109000,73500,123500,NA,101500,NA,NA,NA,80000,95000,NA,97000,NA,NA,79950,82000,87250,75000,107500,NA,NA,NA,NA,79500,79500,NA,79000,89995,95000,NA,94750,NA,93000,NA,NA,108000,101000,99975,103000,NA,NA,NA,104975,1e+05,124950,130000
"E01011408","West Yorkshire","Leeds 057C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46400,NA,46750,NA,47000,NA,48000,NA,NA,NA,53000,54997.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68000,89950,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA,NA,NA,NA,93000,NA,NA,NA,NA,NA,104000,NA,NA,NA,NA,83000,NA,NA,114500,NA,NA,NA,NA
"E01011409","West Yorkshire","Leeds 057D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44000,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,33250,NA,NA,NA,NA,NA,45500,NA,89995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117500,94081,NA,NA,NA,NA,125250,87000,NA,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68500,NA,NA,NA,93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43750,115000,52500,NA,NA,NA,NA,NA,NA,NA
"E01011410","West Yorkshire","Leeds 057E",NA,NA,NA,NA,NA,NA,NA,NA,NA,32500,NA,54950,NA,56000,55000,NA,NA,56000,NA,22750,NA,NA,NA,NA,27000,26500,102500,25000,30000,NA,NA,41000,NA,103500,48500,NA,NA,NA,47500,NA,NA,NA,61750,NA,126000,72000,NA,NA,NA,68000,NA,90000,NA,NA,NA,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,52500,NA,NA,NA,NA,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85500,NA,NA,NA,NA,NA,61000,NA
"E01011411","West Yorkshire","Leeds 073A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01011412","West Yorkshire","Leeds 057F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145000,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,NA
"E01011413","West Yorkshire","Leeds 069A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93000,NA,NA,NA,NA,NA,NA,NA,NA,42250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01011414","West Yorkshire","Leeds 073B",NA,NA,NA,NA,55000,55000,NA,44250,NA,NA,NA,58000,52000,66250,NA,NA,NA,67000,NA,65725,NA,NA,NA,NA,NA,NA,65000,60000,21000,86125,NA,NA,115500,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,NA,95000,NA,NA,137000,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,NA,NA,NA,125000,135000,163000,NA,NA,NA,NA,NA,NA,NA,NA,114500,NA,NA,NA,125000,115000,76550,NA,NA,NA,86625,NA,57500,NA,104650,NA,NA,NA,NA,NA,138500,115000,143000,NA
