"lsoa11cd","CAUTH18NM","lsoa11nm","r_rank","h_rank","g_rank","e_rank","r_exp","h_exp","g_exp","e_exp","ahah","r_ahah","d_ahah","r_dec","h_dec","g_dec","e_dec","gpp_dist","ed_dist","dent_dist","pharm_dist","gamb_dist","ffood_dist","pubs_dist","leis_dist","blue_dist","off_dist","tobac_dist","green_pas","green_act","ur","no2_mean","pm10_mean","so2_mean","d_gpp_dist","d_ed_dist","d_pharm_dist","d_dent_dist","d_gamb_dist","d_ffood_dist","d_pubs_dist","d_leis_dist","d_blue_dist","d_off_dist","d_tobac_dist","d_green_pas","d_green_act","d_no2_mean","d_pm10_mean","d_so2_mean"
"E01010991","West Yorkshire","Calderdale 018C",14671,20815,23026,24602,9.80316864069541,15.593678668501,18.0944034293877,20.0589989787362,15.8875624293301,10166,3,4,5,6,6,1.04571428571429,3.95448979591837,2.1165306122449,1.00510204081633,2.16530612244898,1.89551020408163,1.99551020408163,1.90612244897959,2.17530612244898,2.3730612244898,2.09265306122449,0.14246396409,0.38,1,11.4010873794556,10.8146562576294,1.62352278232574,5,3,6,8,3,4,3,5,6,6,7,7,4,6,4,9
"E01010992","West Yorkshire","Calderdale 018D",21703,14316,9917,23887,16.5656157122901,9.50927284439959,6.14855699591246,19.1468559528707,12.8425753763682,4659,2,6,4,3,6,1.67021739130435,1.76086956521739,2.0304347826087,0.543695652173913,2.05065217391304,1.07695652173913,1.06434782608696,1.655,1.49108695652174,1.97869565217391,1.88108695652174,0.3531767094,0.31,1,11.4182601795802,10.6940011610248,1.60150786097384,8,1,3,8,3,6,6,4,4,6,7,4,3,6,3,9
"E01010993","West Yorkshire","Calderdale 018E",19427,18835,16866,23089,14.1522574243108,13.5639299138731,11.7088253302604,18.1698002518777,14.3987032300805,7226,2,5,5,5,6,1.71326086956522,1.7954347826087,2.38326086956522,0.635,2.48130434782609,0.884565217391304,0.903695652173913,2.855,1.2304347826087,2.59478260869565,3.02326086956522,0.15402919181,0.39,1,11.4201827049255,10.6873769760132,1.55498898029327,8,1,4,9,3,7,6,6,3,5,5,7,4,6,3,9
"E01010994","West Yorkshire","Calderdale 008E",41354,2554,32488,24185,87.9889382960688,1.43323606755259,33.6507355118305,19.52263528084,35.648886289073,38991,10,10,1,8,6,0.475660377358491,2.84584905660377,0.574764150943396,0.478584905660377,0.34561320754717,0.162735849056604,0.146132075471698,0.497830188679245,2.62193396226415,0.552924528301887,0.467594339622642,0.16098295167,0.74,1,11.4603896566763,10.730519754912,1.60828298135734,2,2,2,2,10,10,10,1,7,10,10,7,8,6,3,9
"E01010995","West Yorkshire","Calderdale 012E",36072,4076,5905,24303,44.1381079150015,2.33184242275138,3.46031397820296,19.6731474098005,17.4008529314391,13574,4,9,1,2,6,0.51962962962963,3.35222222222222,0.407037037037037,0.490740740740741,0.687037037037037,0.443333333333333,0.468148148148148,1.37148148148148,2.11481481481481,0.737407407407407,1.34851851851852,0.25498016572,0.148430000000051,1,11.5300282770633,10.7177188944727,1.61081134699547,2,2,2,1,8,9,9,3,6,9,8,5,1,6,3,9
"E01010996","West Yorkshire","Calderdale 014A",36831,4670,14984,21248,47.139613081249,2.69229778395644,10.0654460553862,16.0624787216729,18.9899589105661,17297,5,9,2,4,6,0.490909090909091,3.57681818181818,0.414090909090909,0.496818181818182,0.525,0.384090909090909,0.505,1.74727272727273,1.905,0.583636363636364,1.725,0.34229204648,0.365,1,11.0481168116723,10.6056258361719,1.48814783989648,2,2,2,1,9,9,9,4,5,10,7,4,4,6,3,9
"E01010997","West Yorkshire","Calderdale 009C",10837,31115,7641,14473,6.8119501193064,30.6315139494985,4.58518076171666,9.6387863596132,12.9168577975337,4766,2,3,8,2,4,1.97714285714286,5.54244897959184,1.56,1.89102040816327,1.86122448979592,2.74510204081633,2.42183673469388,4.30408163265306,1.46183673469388,2.44163265306122,4.20591836734694,0.54953121557,0.32,1,9.76590728759766,10.0591459274292,1.27339500188827,8,4,9,7,4,3,2,8,4,6,4,3,3,4,3,7
"E01010998","West Yorkshire","Calderdale 010C",22051,11597,1555,20724,16.9580006021213,7.37478104935232,0.861942696832997,15.4963583558893,10.172770676049,1735,1,6,3,1,5,0.630652173913044,4.42978260869565,0.732391304347826,0.621521739130435,0.731521739130435,1.33891304347826,1.67673913043478,2.98239130434783,0.766521739130435,1.68260869565217,2.89739130434783,0.50210090847,0.19,1,10.937771810643,10.5752062614357,1.47105815867458,3,3,4,3,8,5,4,6,2,7,5,3,1,5,3,9
"E01010999","West Yorkshire","Calderdale 009D",14509,19335,10328,18998,9.66858679403602,14.0598347026044,6.4425585072868,13.7244231562671,10.9738507900486,2416,1,4,5,3,5,1.11478260869565,4.92173913043478,0.662608695652174,1.11478260869565,1.21217391304348,2.06652173913043,2.2004347826087,3.54782608695652,1.21130434782609,2.2004347826087,3.44782608695652,0.65005850406,0.5,1,10.5838937569025,10.4338124076525,1.41260539120868,6,3,7,3,5,4,3,7,3,6,5,2,6,5,3,8
"E01011000","West Yorkshire","Calderdale 010D",29688,7290,5731,21743,27.8641514368818,4.35326490418726,3.35054312278167,16.6103784103202,13.0445844685427,4959,2,8,2,2,6,0.407435897435897,4.22205128205128,1.21410256410256,0.344102564102564,0.393076923076923,0.931794871794872,1.32692307692308,2.47384615384615,0.751025641025641,1.36179487179487,2.41153846153846,0.37035166286,0.32,1,11.1388355008812,10.6329407888048,1.50868288952746,1,3,1,6,10,7,5,6,2,8,6,4,3,6,3,9
"E01011001","West Yorkshire","Calderdale 014B",33030,7834,11744,21294,34.960979174148,4.71370495701499,7.48525220214377,16.1128481002604,15.8181961083918,10018,3,8,2,3,6,0.585714285714286,3.83392857142857,0.89,0.408928571428571,0.563928571428571,0.608928571428571,0.811428571428571,2.01714285714286,1.36357142857143,0.868928571428571,1.97607142857143,0.24853706169,0.32,1,11.0556468963623,10.6148128509521,1.49019837379456,2,2,2,4,9,8,7,5,4,9,7,5,3,6,3,9
"E01011002","West Yorkshire","Calderdale 014C",31520,11601,16301,21619,31.4816487165929,7.37778005508116,11.2030120447905,16.4718966603938,16.6335843692146,11782,3,8,3,4,6,0.61953488372093,3.51093023255814,1.14046511627907,0.588139534883721,0.732093023255814,0.706744186046512,0.761162790697674,2.47953488372093,1.90232558139535,0.773255813953488,2.45651162790698,0.26540510875,0.355,1,11.1231721053908,10.5922777565081,1.50719753052478,3,2,3,5,8,8,7,6,5,9,6,5,4,6,3,9
"E01011003","West Yorkshire","Calderdale 014D",39375,5008,6747,20719,61.6220007520841,2.89995564472443,3.99903372611103,15.4910230018997,21.0030032812048,21943,6,10,2,2,5,0.385510204081633,3.27265306122449,0.790204081632653,0.384489795918367,0.386122448979592,0.232857142857143,0.360816326530612,2.1230612244898,2.26612244897959,0.396734693877551,2.09979591836735,0.39284601161,0.19,1,10.9871730516332,10.5312719281759,1.47155211076718,1,2,1,4,10,10,10,5,6,10,7,4,1,5,3,9
"E01011004","West Yorkshire","Kirklees 040A",20922,17178,13977,19822,15.7086395110521,11.9929838208733,9.23208553372916,14.5533477238229,12.8717641473694,4694,2,6,5,4,5,1.064,7.44866666666667,1.011,0.818,1.08966666666667,1.08966666666667,0.977333333333333,1.34833333333333,3.826,3.876,2.643,0.19396503119,0.17,1,10.8332576857974,10.7066886322092,1.39590520682987,5,5,5,5,6,6,6,3,8,4,6,6,1,5,3,8
"E01011005","West Yorkshire","Kirklees 044A",20804,17689,26994,18120,15.5818927711701,12.4661042029431,23.4036691058151,12.8728631630555,16.081132310746,10562,3,5,5,7,5,1.013125,7.591875,1.0734375,0.9165625,1.0665625,1.0665625,0.9459375,1.244375,5.0065625,4.0696875,2.829375,0.21611894312,0.325,1,10.4332887538944,10.6643804799019,1.34695627392302,5,5,6,5,6,6,6,3,9,4,5,6,3,5,3,8
"E01011006","West Yorkshire","Kirklees 040B",32066,9927,14987,20376,32.6798781722918,6.15566589075551,10.0679744231491,15.1279411418831,16.0078649070199,10405,3,8,3,4,5,0.598846153846154,5.74192307692308,0.727307692307692,0.742307692307692,0.749615384615385,0.644230769230769,0.626153846153846,1.18884615384615,2.11730769230769,2.26307692307692,1.06538461538462,0.2527625807,0.3,1,10.9931112616173,10.7046342672941,1.41826093199508,2,4,5,3,8,8,8,3,6,6,9,5,3,6,3,8
"E01011007","West Yorkshire","Kirklees 042A",34223,8479,20450,21517,38.1384060979502,5.14851537668518,15.2057902279214,16.3586059718227,18.7128294185949,16607,4,9,3,5,6,0.745476190476191,4.85261904761905,0.747857142857143,0.809047619047619,0.851428571428571,0.46452380952381,0.787619047619048,0.593571428571429,1.07095238095238,1.37690476190476,0.722619047619048,0.27668356814,0.7,1,11.3501846191868,10.7178002449881,1.45945626706431,3,3,5,3,7,9,7,1,3,8,10,5,8,6,3,9
"E01011008","West Yorkshire","Kirklees 040C",37176,2444,14979,21200,48.6451765736317,1.36963116554176,10.0612327266633,16.0100367115424,19.0215192943448,17374,5,9,1,4,6,0.306896551724138,5.34034482758621,0.501379310344828,0.368965517241379,0.681724137931034,0.347586206896552,0.340344827586207,0.883793103448276,1.80344827586207,1.86103448275862,0.647241379310345,0.31869678287,0.37,1,11.2221660220708,10.7255111387525,1.4474161933208,1,4,1,2,8,9,10,2,5,7,10,5,4,6,3,9
"E01011009","West Yorkshire","Kirklees 044B",20160,15545,16260,17369,14.9022015284815,10.5431515980727,11.1667362960391,12.1686882735023,12.1951944240239,3779,1,5,4,4,5,0.837222222222222,6.72583333333333,1.07027777777778,0.573888888888889,2.05694444444444,2.265,0.518611111111111,2.22111111111111,2.90527777777778,3.10861111111111,2.07666666666667,0.41178514238,0.32,1,10.3296928009439,10.4986761541318,1.33725764792815,4,5,3,5,3,3,9,5,7,5,7,4,3,5,3,8
"E01011010","West Yorkshire","Kirklees 044C",23156,10776,20713,19102,18.2502563015795,6.76736701974458,15.4846222103838,13.8274120962316,13.5824144069849,5836,2,6,3,5,5,0.978611111111111,6.16805555555556,0.732222222222222,0.412222222222222,1.59888888888889,1.62333333333333,0.686666666666667,1.74555555555556,2.34777777777778,2.65277777777778,1.52194444444444,0.17551156796,0.34,1,10.6847131298351,10.6309423537992,1.37939751861073,5,4,2,3,4,4,8,4,6,5,8,6,3,5,3,8
"E01011011","West Yorkshire","Kirklees 044D",16738,20245,21544,16460,11.593255517556,14.9907700446295,16.3885404185481,11.3442348429224,13.579200205914,5828,2,5,5,6,4,0.990909090909091,6.59757575757576,1.10818181818182,0.95969696969697,2.38212121212121,2.17757575757576,0.970606060606061,2.24969696969697,2.69727272727273,2.54969696969697,2.29333333333333,0.22719768594,0.36,1,10.1354258278689,10.3361065946264,1.32887654231602,5,5,6,5,3,3,6,5,7,5,6,6,4,5,3,8
"E01011012","West Yorkshire","Kirklees 040D",35399,4595,16292,19734,41.7693174983367,2.64647292204283,11.1950441729376,14.4633833919721,17.5185544963223,13840,4,9,2,4,5,0.4515,6.7395,0.493,0.489,0.377,0.3685,0.392,0.76,5.064,3.0175,1.776,0.15779955089,0.144919999999984,1,10.7888242077028,10.7227650368038,1.39057948167988,1,5,2,2,10,9,9,2,9,5,7,7,1,5,3,8
"E01011013","West Yorkshire","Kirklees 007A",9660,31296,32999,30110,5.96660821324109,31.0075724171071,34.8839923506857,28.6484344501297,25.1266518577909,29769,8,3,8,8,8,2.02545454545455,5.52272727272727,2.31969696969697,2.05666666666667,2.88121212121212,2.26181818181818,2.21454545454545,2.6269696969697,2.05647573915151,5.41878787878788,2.98181818181818,0.2270952187,1.28,1,13.2877308527629,11.9877805709839,1.5637438694636,8,4,9,8,3,3,3,6,5,3,5,6,10,8,5,9
"E01011014","West Yorkshire","Kirklees 007B",26798,4559,30559,30144,23.1105540377978,2.62450937620426,29.5133476308914,28.7128028106739,20.9903034638919,21910,6,7,2,8,8,0.46093023255814,3.40418604651163,0.69906976744186,0.482093023255814,1.27255813953488,0.63046511627907,0.612093023255814,0.98953488372093,3.68372093023256,5.47209302325581,1.36976744186047,0.14534806422,0.45,1,13.257844368479,11.9059245025606,1.57641237042453,1,2,2,3,5,8,8,2,8,3,8,7,5,8,5,9
"E01011015","West Yorkshire","Kirklees 010A",35044,2582,17842,31291,40.6116286092712,1.44945453041039,12.6096767656041,30.9971010542162,21.4169652398755,22816,6,9,1,5,8,0.438536585365854,2.22170731707317,0.431219512195122,0.506341463414634,0.510975609756098,0.457317073170732,0.468780487804878,0.987317073170732,2.25585365853659,5.60804878048781,0.59,0.26968189079,0.35,1,13.5271913151851,11.7450743515566,1.63139754718473,1,1,3,1,9,9,9,2,6,3,10,5,4,8,5,10
"E01011016","West Yorkshire","Kirklees 013A",30435,4199,21293,30520,29.2712161599219,2.40601982314201,16.1117519400197,29.4369182411646,19.306476541062,18019,5,8,2,6,8,0.510512820512821,2.60025641025641,0.624102564102564,0.68948717948718,1.11794871794872,0.50025641025641,0.433333333333333,0.65025641025641,2.59538461538462,5.12615384615385,1.17871794871795,0.23681797541,0.37,1,13.3465060521264,11.8165236508936,1.59933986155462,2,1,4,3,6,9,9,1,7,3,9,6,4,8,5,9
"E01011017","West Yorkshire","Kirklees 013B",23611,129,14352,31319,18.8042114679198,0.0702892338682599,9.5389058356422,31.0558021853066,14.8673021806842,8133,2,6,1,4,8,0.242,1.507,0.196333333333333,0.245666666666667,1.12566666666667,0.970333333333333,1.10733333333333,1.17733333333333,2.53933333333333,6.008,1.07566666666667,0.28227533156,0.265,1,13.4791306208046,11.5770148552215,1.65198287944987,1,1,1,1,6,6,5,3,7,3,9,5,2,8,5,10
"E01011018","West Yorkshire","Kirklees 013C",24641,2241,8012,31226,20.1098080536051,1.25271104850512,4.83288025389615,30.8614053975655,14.264201188393,6981,2,6,1,2,8,0.540416666666667,1.4825,0.377916666666667,0.454166666666667,1.15041666666667,0.739583333333333,0.909583333333333,1.22333333333333,2.24833333333333,6.02208333333333,1.31625,0.22598551479,0.17,1,13.4583474967576,11.5468341116101,1.65156740694264,2,1,2,1,6,7,6,3,6,3,8,6,1,8,5,10
"E01011019","West Yorkshire","Kirklees 013D",27843,9795,16362,30630,24.7183273435259,6.0620049384958,11.2570893882427,29.6531437418166,17.9226413530202,14792,4,7,3,4,8,0.918367346938776,2.41795918367347,0.782448979591837,1.09857142857143,1.4234693877551,0.456530612244898,0.547959183673469,0.881020408163265,1.89142857142857,5.42857142857143,1.43979591836735,0.35481974517,0.41,1,13.367812446019,11.7454641980218,1.60876438739341,5,1,7,4,5,9,9,2,5,3,8,4,5,8,5,9
